movie_title,original_language,popularity,vote_average,vote_count,release_date,production_budget,worldwide_gross,release_year,release_month,genres,studio
the hunger games,en,14.212,7.1,14587,2012-03-23,80000000,677923379,2012,3,cross-genre,LGF
the hunger games: catching fire,en,20.187,7.4,11170,2013-11-22,130000000,864868047,2013,11,cross-genre,LGF
the hunger games: mockingjay - part 1,en,33.837,6.8,10087,2014-11-21,125000000,766575131,2014,11,cross-genre,LGF
the hunger games: mockingjay - part 2,en,19.487,6.8,7609,2015-11-20,160000000,648986787,2015,11,cross-genre,LGF
the hurricane heist,en,13.335,5.4,476,2018-03-09,40000000,30963684,2018,3,cross-genre,ENTMP
the ides of march,en,10.127,6.7,1405,2011-10-07,23000000,77735925,2011,10,cross-genre,Sony
the imitation game,en,33.078,8.1,10396,2014-11-28,15000000,227740463,2014,11,cross-genre,Wein.
the immigrant,en,8.145,6.2,438,2014-05-16,16000000,7585011,2014,5,cross-genre,Wein.
the impossible,en,14.66,7.2,3614,2012-12-21,40000000,169590606,2012,12,cross-genre,LG/S
the incredible burt wonderstone,en,9.362,5.4,920,2013-03-15,32000000,27392609,2013,3,cross-genre,WB (NL)
the infiltrator,en,9.588,6.6,943,2016-07-13,47500000,20718104,2016,7,cross-genre,BG
the innkeepers,en,8.494,5.5,324,2012-02-03,750000,1011535,2012,2,cross-genre,Magn.
the intern,en,14.377,7.1,3373,2015-09-25,40000000,197115710,2015,9,cross-genre,WB
the internship,en,0.6,6.2,2631,2013-06-07,58000000,93672764,2013,6,comedy,Fox
the invitation,en,10.424,6.5,1063,2016-04-08,1000000,354836,2016,4,cross-genre,Drft.
the iron lady,en,8.987,6.4,899,2012-01-13,14000000,115592104,2012,1,cross-genre,Wein.
the joneses,en,6.424,6.2,312,2010-04-16,10000000,3541565,2010,4,cross-genre,RAtt.
the journey,en,1.893,6.7,20,2003-07-11,500000,19800,2003,7,family,IFC
the judge,en,16.464,7.3,2356,2014-10-10,50000000,76119388,2014,10,cross-genre,WB
the karate kid,en,12.256,6.3,3140,2010-06-11,40000000,351774938,2010,6,cross-genre,Sony
the kids are all right,en,8.426,6.6,854,2010-07-09,4000000,36275469,2010,7,cross-genre,Focus
