movie_title,original_language,popularity,vote_average,vote_count,release_date,production_budget,worldwide_gross,release_year,release_month,genres,studio
10 cloverfield lane,en,17.892,6.9,4629,2016-03-11,5000000,108286422,2016,3,cross-genre,Par.
12 strong,en,13.183,5.6,1312,2018-01-19,35000000,71118378,2018,1,cross-genre,WB
12 years a slave,en,16.493,7.9,6631,2013-10-18,20000000,181025343,2013,10,cross-genre,FoxS
127 hours,en,11.435,7.0,4469,2010-11-05,18000000,60217171,2010,11,cross-genre,FoxS
13 sins,en,10.899,6.3,576,2014-04-18,4000000,47552,2014,4,cross-genre,RTWC
2 guns,en,14.8,6.5,2368,2013-08-02,61000000,132493015,2013,8,cross-genre,Uni.
20 feet from stardom,en,7.866,7.4,127,2013-06-14,1000000,5892466,2013,6,cross-genre,RTWC
21 jump street,en,14.836,6.8,6527,2012-03-16,42000000,202812429,2012,3,cross-genre,Sony
22 jump street,en,11.176,6.9,5167,2014-06-13,50000000,331333876,2014,6,cross-genre,Sony
3 days to kill,en,11.011,6.1,1279,2014-02-21,28000000,38959900,2014,2,cross-genre,Rela.
30 minutes or less,en,11.315,5.6,825,2011-08-12,28000000,40966716,2011,8,cross-genre,Sony
300: rise of an empire,en,23.68,6.0,3870,2014-03-07,110000000,330780051,2014,3,cross-genre,WB
47 ronin,en,25.049,6.0,2080,2013-12-25,175000000,151716815,2013,12,cross-genre,Uni.
5 days of war,en,8.689,5.7,102,2011-08-19,12000000,87793,2011,8,cross-genre,Anch.
50/50,en,12.451,7.1,2111,2011-09-30,8000000,41334735,2011,9,cross-genre,Sum.
a bad moms christmas,en,16.604,6.3,1044,2017-11-01,28000000,127710550,2017,11,cross-genre,STX
a better life,en,5.885,7.1,97,2011-06-24,10000000,1884251,2011,6,cross-genre,Sum.
a dangerous method,en,10.352,6.3,1066,2011-11-23,20000000,14807531,2011,11,cross-genre,SPC
a ghost story,en,11.886,7.0,906,2017-07-07,100000,2769782,2017,7,cross-genre,A24
a good day to die hard,en,15.858,5.2,4437,2013-02-14,92000000,304249198,2013,2,cross-genre,Fox
a haunted house,en,6.909,5.5,871,2013-01-11,2500000,59922558,2013,1,cross-genre,ORF
a haunted house 2,en,6.948,5.5,597,2014-04-18,4000000,21206861,2014,4,cross-genre,ORF
a hologram for the king,en,11.055,5.9,589,2016-04-22,35000000,11846010,2016,4,cross-genre,RAtt.
a little bit of heaven,en,7.87,6.3,333,2012-05-04,12500000,1100287,2012,5,cross-genre,MNE
a million ways to die in the west,en,10.816,5.8,2219,2014-05-30,40000000,86778557,2014,5,cross-genre,Uni.
a monster calls,en,11.128,7.1,1918,2017-01-06,43000000,46414530,2017,1,cross-genre,Focus
a most violent year,en,12.271,6.6,792,2014-12-31,20000000,8846875,2014,12,cross-genre,A24
a most wanted man,en,10.267,6.5,784,2014-07-25,15000000,36068890,2014,7,cross-genre,RAtt.
a quiet place,en,29.154,7.3,5848,2018-04-06,17000000,334522294,2018,4,documentary,Par.
a simple favor,en,21.121,6.6,1756,2018-09-14,20000000,97628717,2018,9,cross-genre,LGF
a street cat named bob,en,7.12,7.5,500,2016-11-18,8000000,17382693,2016,11,cross-genre,Cleopatra
a thousand words,en,8.017,6.1,685,2012-03-09,40000000,20790486,2012,3,cross-genre,P/DW
a walk among the tombstones,en,19.373,6.3,1685,2014-09-19,28000000,62108587,2014,9,cross-genre,Uni.
a walk in the woods,en,6.935,5.9,402,2015-09-02,8000000,37119358,2015,9,cross-genre,BG
a wrinkle in time,en,12.529,5.0,1073,2018-03-09,103000000,133401882,2018,3,cross-genre,BV
abduction,en,17.69,5.8,1791,2011-09-23,35000000,86648359,2011,9,cross-genre,LGF
about time,en,14.133,7.9,3981,2013-11-01,12000000,89309178,2013,11,cross-genre,Uni.
abraham lincoln: vampire hunter,en,12.498,5.6,2009,2012-06-22,67500000,137489730,2012,6,cross-genre,Fox
act of valor,en,12.197,6.3,583,2012-02-24,12000000,82497035,2012,2,cross-genre,Rela.
addicted,en,8.295,5.3,103,2014-10-10,5000000,17499242,2014,10,cross-genre,LGF
admission,en,8.065,5.5,385,2013-03-22,13000000,18733666,2013,3,cross-genre,Focus
adrift,en,0.6,7.0,1,2018-06-01,35000000,57897191,2018,6,drama,STX
after earth,en,14.415,5.1,4154,2013-05-31,130000000,251499665,2013,5,cross-genre,Sony
ain't them bodies saints,en,8.166,6.2,217,2013-08-16,5000000,1075009,2013,8,cross-genre,IFC
albert nobbs,en,6.277,6.3,227,2011-12-21,7500000,8539003,2011,12,cross-genre,RAtt.
alex cross,en,9.962,5.1,424,2012-10-19,35000000,35426759,2012,10,cross-genre,LG/S
"alexander and the terrible, horrible, no good, very bad day",en,6.783,6.2,817,2014-10-10,28000000,101379287,2014,10,cross-genre,BV
alice through the looking glass,en,16.642,6.5,3803,2016-05-27,170000000,276928112,2016,5,cross-genre,BV
alien: covenant,en,24.651,5.9,4971,2017-05-19,97000000,238521247,2017,5,cross-genre,Fox
all eyez on me,en,7.249,6.4,695,2017-06-16,45000000,54876855,2017,6,cross-genre,LG/S
all good things,en,7.871,6.0,493,2010-12-03,20000000,873617,2010,12,cross-genre,Magn.
all is lost,en,9.869,6.6,949,2013-10-18,8500000,10386814,2013,10,cross-genre,RAtt.
all saints,en,4.042,6.1,25,2017-08-25,2000000,5941994,2017,8,drama,Affirm
allied,en,19.611,6.7,2765,2016-11-23,106000000,119266661,2016,11,cross-genre,Par.
almost christmas,en,6.532,5.6,245,2016-11-11,17000000,42493506,2016,11,cross-genre,Uni.
aloha,en,9.685,5.3,1226,2015-05-29,37000000,25387091,2015,5,cross-genre,Sony
alpha,el,0.84,7.0,1,2018-08-17,51000000,99624873,2018,8,crime,Studio 8
alvin and the chipmunks: chipwrecked,en,12.672,5.5,1055,2011-12-16,80000000,349088523,2011,12,cross-genre,Fox
alvin and the chipmunks: the road chip,en,14.973,5.8,852,2015-12-18,90000000,249517956,2015,12,cross-genre,Fox
american assassin,en,15.434,6.3,1596,2017-09-15,63000000,68310140,2017,9,cross-genre,LGF
american honey,en,8.778,6.7,417,2016-09-30,3500000,2611750,2016,9,cross-genre,A24
american hustle,en,12.481,6.8,4443,2013-12-13,40000000,257878294,2013,12,cross-genre,Sony
american made,en,16.748,6.7,2188,2017-09-29,50000000,135569212,2017,9,cross-genre,Uni.
american reunion,en,17.199,6.2,2679,2012-04-06,50000000,236799211,2012,4,comedy,Uni.
american sniper,en,18.473,7.4,7658,2014-12-25,58000000,547326372,2014,12,cross-genre,WB
american ultra,en,9.97,6.0,1756,2015-08-21,28000000,30295028,2015,8,cross-genre,LGF
amour,fr,10.705,7.7,746,2012-12-19,9700000,36787044,2012,12,cross-genre,SPC
anchorman 2: the legend continues,en,12.08,6.1,1408,2013-12-18,50000000,172185754,2013,12,comedy,Par.
and so it goes,en,8.235,5.9,264,2014-07-25,18000000,17920013,2014,7,cross-genre,CE
animal kingdom,en,10.188,6.8,399,2010-08-13,4200000,8078683,2010,8,cross-genre,SPC
anna,en,1.463,3.1,8,2014-06-06,4357373,1200000,2014,6,cross-genre,VE
anna karenina,en,9.987,6.7,1265,2012-11-16,49000000,71004627,2012,11,cross-genre,Focus
annabelle,en,13.989,5.6,3357,2014-10-03,6500000,256862920,2014,10,cross-genre,WB (NL)
annabelle: creation,en,21.245,6.5,3141,2017-08-11,15000000,305384865,2017,8,cross-genre,WB (NL)
anomalisa,en,10.285,7.1,927,2015-12-30,8000000,5706168,2015,12,cross-genre,Par.
anonymous,en,8.114,6.4,434,2011-10-28,27500000,15815509,2011,10,cross-genre,Sony
another earth,en,10.03,6.7,853,2011-07-22,175000,2102779,2011,7,cross-genre,FoxS
another happy day,en,5.473,6.1,60,2011-11-18,4000000,978527,2011,11,cross-genre,P4
another year,en,9.394,7.0,150,2010-12-29,8000000,20005613,2010,12,cross-genre,SPC
ant-man,en,32.715,7.1,11949,2015-07-17,130000000,518858449,2015,7,cross-genre,BV
ant-man and the wasp,en,44.729,7.0,6290,2018-07-06,130000000,623144660,2018,7,cross-genre,BV
apollo 18,en,8.384,5.0,486,2011-09-02,5000000,26517819,2011,9,cross-genre,W/Dim.
aquaman,en,38.102,6.8,6155,2018-12-21,160000000,1146894640,2018,12,cross-genre,WB
arbitrage,en,12.14,6.2,459,2012-09-14,12000000,35830713,2012,9,cross-genre,RAtt.
argo,en,15.793,7.2,5127,2012-10-12,44500000,227140757,2012,10,cross-genre,WB
arrival,en,25.442,7.4,10387,2016-11-11,47000000,203127894,2016,11,cross-genre,Par.
arthur christmas,en,12.981,6.7,692,2011-11-23,85000000,149717124,2011,11,cross-genre,Sony
atomic blonde,en,21.662,6.3,3645,2017-07-28,30000000,98345423,2017,7,cross-genre,Focus
attack the block,en,9.612,6.4,1144,2011-07-29,13000000,6459183,2011,7,cross-genre,SGem
august: osage county,en,9.586,6.9,843,2013-12-25,25000000,50738810,2013,12,cross-genre,Wein.
avengers: age of ultron,en,44.383,7.3,13457,2015-05-01,330600000,1403013963,2015,5,cross-genre,BV
avengers: infinity war,en,80.773,8.3,13948,2018-04-27,300000000,2048134200,2018,4,cross-genre,BV
baahubali 2: the conclusion,te,10.406,7.0,252,2017-04-28,30000000,263502914,2017,4,cross-genre,GrtIndia
baby driver,en,22.895,7.4,8034,2017-06-28,34000000,228104185,2017,6,cross-genre,TriS
bachelorette,en,7.05,5.4,755,2012-09-07,3000000,12577401,2012,9,cross-genre,RTWC
bad moms,en,14.332,6.5,2600,2016-07-29,20000000,180998716,2016,7,comedy,STX
bad teacher,en,13.549,5.5,2894,2011-06-24,19000000,215448997,2011,6,cross-genre,Sony
bad times at the el royale,en,31.32,6.8,1365,2018-10-12,32000000,29204379,2018,10,cross-genre,Fox
baggage claim,en,8.666,5.4,127,2013-09-27,8500000,22885836,2013,9,comedy,FoxS
bajrangi bhaijaan,hi,7.122,7.9,232,2015-07-17,13000000,121778347,2015,7,cross-genre,Eros
barbershop: the next cut,en,12.846,6.0,248,2016-04-15,20000000,54404202,2016,4,cross-genre,WB (NL)
batman v superman: dawn of justice,en,28.088,5.8,11991,2016-03-25,250000000,867500281,2016,3,cross-genre,WB
battle of the sexes,ru,0.6,5.5,4,2017-09-22,25000000,18445379,2017,9,cross-genre,FoxS
battle of the year,en,5.858,6.1,130,2013-09-20,20000000,16723377,2013,9,cross-genre,SGem
battleship,en,21.742,5.6,3240,2012-05-18,220000000,313477717,2012,5,cross-genre,Uni.
baywatch,en,14.429,6.1,4748,2017-05-25,60000000,175863783,2017,5,cross-genre,Par.
beastly,en,10.136,6.1,1748,2011-03-04,17000000,38028230,2011,3,cross-genre,CBS
beasts of the southern wild,en,7.53,6.9,605,2012-06-27,1800000,23265132,2012,6,cross-genre,FoxS
beautiful boy,en,5.872,6.0,47,2018-10-12,25000000,13031424,2018,10,cross-genre,Anch.
before i fall,en,14.584,7.0,2135,2017-03-03,5000000,18945682,2017,3,cross-genre,ORF
before i go to sleep,en,16.07,6.4,1098,2014-10-31,22000000,19563579,2014,10,cross-genre,CE
before midnight,en,11.765,7.4,1039,2013-05-24,3000000,23251930,2013,5,cross-genre,SPC
before we go,en,8.233,6.5,985,2015-09-04,3000000,483938,2015,9,cross-genre,RTWC
begin again,en,10.828,7.2,2089,2014-06-27,8000000,68838736,2014,6,cross-genre,Wein.
beginners,en,10.322,6.9,532,2011-06-03,3200000,14314407,2011,6,cross-genre,Focus
believe,en,1.327,5.9,12,2016-12-02,3500000,890303,2016,12,documentary,ORF
ben is back,en,17.273,6.7,254,2018-12-07,13000000,9633111,2018,12,drama,RAtt.
bernie,en,7.518,6.6,503,2012-04-27,6000000,10106975,2012,4,cross-genre,MNE
big eyes,en,12.017,7.0,2153,2014-12-25,10000000,27317872,2014,12,cross-genre,Wein.
big hero 6,en,36.92,7.8,10176,2014-11-07,165000000,652127828,2014,11,cross-genre,BV
big miracle,en,6.76,6.6,250,2012-02-03,40000000,25268680,2012,2,cross-genre,Uni.
"big mommas: like father, like son",en,16.024,5.5,623,2011-02-18,32000000,82332450,2011,2,cross-genre,Fox
bilal: a new breed of hero,en,2.707,6.8,54,2018-02-02,30000000,648599,2018,2,cross-genre,VE
biutiful,es,7.697,7.2,546,2011-01-28,35000000,24687524,2011,1,cross-genre,RAtt.
black mass,en,14.646,6.4,2020,2015-09-18,53000000,98837872,2015,9,cross-genre,WB
black nativity,en,1.779,5.7,25,2013-11-27,17500000,7285135,2013,11,cross-genre,FoxS
black or white,en,8.05,6.8,193,2015-01-30,9000000,21971021,2015,1,drama,Rela.
black panther,en,2.058,5.1,11,2018-02-16,200000000,1348258224,2018,2,cross-genre,BV
black swan,en,13.745,7.6,8374,2010-12-03,13000000,331266710,2010,12,cross-genre,FoxS
blackhat,en,16.824,5.3,1165,2015-01-16,70000000,19665004,2015,1,cross-genre,Uni.
blackkklansman,en,25.101,7.6,3138,2018-08-10,15000000,93017335,2018,8,cross-genre,Focus
blackthorn,en,7.548,6.7,111,2011-10-07,4500000,1217307,2011,10,cross-genre,Magn.
blade runner 2049,en,48.571,7.4,6679,2017-10-06,185000000,259357408,2017,10,cross-genre,WB
blair witch,en,9.772,5.0,1094,2016-09-16,10000000,38985577,2016,9,cross-genre,LGF
bleed for this,en,8.258,6.9,405,2016-11-18,16000000,6603926,2016,11,cross-genre,ORF
blended,en,10.613,6.7,1709,2014-05-23,45000000,127990741,2014,5,cross-genre,WB
blockers,en,21.841,6.1,969,2018-04-06,21000000,94045328,2018,4,comedy,Uni.
blood ties,en,12.003,6.1,268,2014-03-21,26000000,2923959,2014,3,drama,ALP
blue jasmine,en,10.443,7.0,1983,2013-07-26,18000000,102912961,2013,7,drama,SPC
blue valentine,en,8.994,6.9,1677,2010-12-29,1000000,16566240,2010,12,cross-genre,Wein.
bohemian rhapsody,en,37.197,8.1,7629,2018-11-02,55000000,894985342,2018,11,cross-genre,Fox
book club,en,0.6,10.0,1,2018-05-18,10000000,91113683,2018,5,documentary,Par.
boyhood,en,11.141,7.5,3097,2014-07-11,4000000,57273049,2014,7,drama,IFC
brave,th,0.6,5.0,1,2012-06-22,185000000,554606532,2012,6,cross-genre,BV
brick mansions,en,9.194,5.9,909,2014-04-25,28000000,73421224,2014,4,cross-genre,Rela.
bridesmaids,en,9.805,6.5,2783,2011-05-13,32500000,289632023,2011,5,cross-genre,Uni.
bridge of spies,en,12.836,7.2,4313,2015-10-16,40000000,162498338,2015,10,cross-genre,BV
brighton rock,en,4.749,6.0,57,2011-08-26,11000000,229653,2011,8,cross-genre,IFC
broken city,en,13.646,5.9,814,2013-01-18,35000000,34480045,2013,1,cross-genre,Fox
brooklyn,en,12.083,7.3,1912,2015-11-04,11000000,62076141,2015,11,cross-genre,FoxS
bullet to the head,en,17.574,5.4,681,2013-02-01,55000000,22597969,2013,2,cross-genre,WB
bumblebee,en,43.078,6.5,2425,2018-12-21,102000000,465195589,2018,12,cross-genre,Par.
buried,en,10.888,6.6,1487,2010-09-24,1987650,21270290,2010,9,cross-genre,LGF
burlesque,en,8.676,7.1,1195,2010-11-24,55000000,90552675,2010,11,cross-genre,SGem
burnt,en,12.761,6.4,1841,2015-10-30,20000000,36773510,2015,10,cross-genre,Wein.
by the sea,en,6.471,5.4,306,2015-11-13,20000000,3727746,2015,11,cross-genre,Uni.
camp x-ray,en,15.237,6.8,618,2014-10-17,1000000,101053,2014,10,cross-genre,IFC
can you ever forgive me?,en,17.604,6.9,450,2018-10-19,10000000,11752387,2018,10,cross-genre,FoxS
captain america: civil war,en,39.137,7.4,14000,2016-05-06,250000000,1140069413,2016,5,cross-genre,BV
captain america: the first avenger,en,25.808,6.9,12810,2011-07-22,140000000,370569776,2011,7,cross-genre,Par.
captain america: the winter soldier,en,18.073,7.7,11034,2014-04-04,170000000,714401889,2014,4,cross-genre,BV
captain phillips,en,15.483,7.6,3909,2013-10-11,55000000,220648184,2013,10,cross-genre,Sony
captain underpants: the first epic movie,en,18.31,6.0,587,2017-06-02,38000000,126577874,2017,6,cross-genre,Fox
carol,en,13.096,7.4,1949,2015-11-20,11800000,42843521,2015,11,cross-genre,Wein.
cars 2,en,23.498,5.9,4058,2011-06-24,200000000,560155383,2011,6,cross-genre,BV
cars 3,en,18.427,6.7,2596,2017-06-16,175000000,383541369,2017,6,cross-genre,BV
casa de mi padre,en,7.691,5.2,154,2012-03-16,6000000,8446952,2012,3,cross-genre,LGF
casino jack,en,9.432,6.1,149,2010-12-17,12500000,2272186,2010,12,cross-genre,ATO
cats & dogs: the revenge of kitty galore,en,10.544,4.9,273,2010-07-30,85000000,113026383,2010,7,cross-genre,WB
cedar rapids,en,7.694,6.0,206,2011-02-11,10000000,7862131,2011,2,comedy,FoxS
central intelligence,en,14.478,6.3,3133,2016-06-17,50000000,217194805,2016,6,cross-genre,WB (NL)
centurion,en,13.548,6.1,673,2010-08-27,15000000,7885048,2010,8,cross-genre,Magn.
chappie,en,24.52,6.7,4995,2015-03-06,49000000,105002056,2015,3,cross-genre,Sony
charlie st. cloud,en,9.454,6.9,1398,2010-07-30,44000000,48478084,2010,7,cross-genre,Uni.
chasing mavericks,en,6.546,7.0,329,2012-10-26,20000000,8300821,2012,10,cross-genre,Fox
chernobyl diaries,en,14.658,5.0,842,2012-05-25,1000000,42411721,2012,5,cross-genre,WB
child 44,en,26.386,6.2,903,2015-04-17,50000000,8004221,2015,4,cross-genre,LG/S
chips,en,13.744,6.0,657,2017-03-24,25000000,23190292,2017,3,cross-genre,WB
chloe,en,8.807,5.9,940,2010-03-26,13000000,11831131,2010,3,cross-genre,SPC
churchill,en,7.692,6.1,150,2017-06-02,10000000,7582196,2017,6,cross-genre,Cohen
circumstance,fa,2.86,6.9,45,2011-08-26,900000,958978,2011,8,drama,RAtt.
cirque du soleil: worlds away,en,6.538,6.8,82,2012-12-21,25000000,28012862,2012,12,fantasy,Par.
city of ghosts,en,4.341,7.1,24,2003-04-25,17500000,325491,2003,4,cross-genre,IFC
cloud atlas,en,14.681,6.8,4505,2012-10-26,102000000,130673154,2012,10,cross-genre,WB
cloudy with a chance of meatballs 2,en,18.335,6.4,1679,2013-09-27,78000000,274392649,2013,9,cross-genre,Sony
coco,en,25.961,8.2,8669,2017-11-22,175000000,798008101,2017,11,cross-genre,BV
collateral beauty,en,12.857,7.2,3270,2016-12-16,36000000,85309093,2016,12,cross-genre,WB (NL)
collide,en,9.035,5.6,331,2017-02-24,29200000,5466698,2017,2,action,ORF
colombiana,en,10.584,6.5,1371,2011-08-26,40000000,72295262,2011,8,cross-genre,TriS
compadres,es,1.927,5.1,21,2016-04-22,3000000,7445044,2016,4,cross-genre,PNT
compliance,en,6.93,6.4,340,2012-08-17,270000,830700,2012,8,cross-genre,Magn.
contagion,en,10.444,6.3,2128,2011-09-09,60000000,137551594,2011,9,cross-genre,WB
contraband,en,12.357,6.2,1114,2012-01-13,25000000,98406855,2012,1,cross-genre,Uni.
conviction,en,7.51,7.2,297,2010-10-15,12500000,11826980,2010,10,cross-genre,FoxS
cop out,en,8.82,5.4,796,2010-02-26,37000000,55909910,2010,2,cross-genre,WB
coriolanus,en,8.016,6.0,215,2012-01-20,10000000,2179623,2012,1,cross-genre,Wein.
country strong,en,7.567,6.3,126,2010-12-22,15000000,20601987,2010,12,cross-genre,SGem
courageous,en,7.406,7.0,128,2011-09-30,2000000,35185884,2011,9,drama,TriS
crazy rich asians,en,17.969,7.1,1496,2018-08-15,30000000,238099711,2018,8,cross-genre,WB
creed,en,16.356,7.3,4010,2015-11-25,37000000,173567581,2015,11,horror,WB (NL)
creed ii,en,26.907,6.7,2236,2018-11-21,50000000,213591522,2018,11,cross-genre,MGM
crimson peak,en,9.897,6.5,2986,2015-10-16,55000000,74966854,2015,10,cross-genre,Uni.
cyrus,en,7.735,6.0,201,2010-06-18,7000000,10062896,2010,6,cross-genre,FoxS
dallas buyers club,en,12.389,7.9,4961,2013-11-01,5000000,60611845,2013,11,cross-genre,Focus
damsels in distress,en,6.625,5.5,103,2012-04-06,3000000,1324299,2012,4,cross-genre,SPC
dangal,hi,10.022,8.1,358,2016-12-21,9500000,294654618,2016,12,cross-genre,UTV
danny collins,en,8.933,6.7,260,2015-03-20,10000000,8465845,2015,3,cross-genre,BST
dark shadows,en,15.75,5.9,4197,2012-05-11,150000000,238202668,2012,5,cross-genre,WB
dark skies,en,11.582,6.1,1004,2013-02-22,3500000,27704111,2013,2,cross-genre,W/Dim.
darkest hour,en,15.331,7.3,2715,2017-11-22,30000000,150807172,2017,11,cross-genre,Focus
darling companion,en,4.656,5.0,46,2012-04-20,12000000,1200346,2012,4,cross-genre,SPC
date night,en,12.498,6.0,1743,2010-04-09,55000000,152269033,2010,4,cross-genre,Fox
dawn of the planet of the apes,en,27.641,7.3,7080,2014-07-11,170000000,710644566,2014,7,cross-genre,Fox
dead man down,en,10.349,6.0,866,2013-03-08,30000000,19599974,2013,3,cross-genre,FD
deadpool,en,35.067,7.6,20175,2016-02-12,58000000,801025593,2016,2,cross-genre,Fox
deadpool 2,en,38.894,7.5,8773,2018-05-18,110000000,786680557,2018,5,cross-genre,Fox
dear john,en,12.048,6.8,2676,2010-02-05,25000000,142033509,2010,2,cross-genre,SGem
dear white people,en,7.455,6.1,296,2014-10-17,1250000,5403771,2014,10,cross-genre,RAtt.
deepwater horizon,en,13.685,6.7,2606,2016-09-30,156000000,122603824,2016,9,cross-genre,LG/S
deliver us from evil,en,11.283,6.1,1104,2014-07-02,30000000,87956618,2014,7,cross-genre,SGem
delivery man,en,7.962,6.2,858,2013-11-22,22000000,70536870,2013,11,cross-genre,BV
den of thieves,en,22.738,6.6,1244,2018-01-19,30000000,80131391,2018,1,cross-genre,STX
denial,en,9.267,6.7,349,2016-09-30,10000000,9263940,2016,9,cross-genre,BST
desert dancer,en,1.508,6.9,33,2015-04-10,4000000,596335,2015,4,cross-genre,Rela.
despicable me,en,23.673,7.2,10057,2010-07-09,69000000,543464573,2010,7,cross-genre,Uni.
despicable me 2,en,19.014,6.9,7319,2013-07-03,76000000,975216835,2013,7,cross-genre,Uni.
despicable me 3,en,16.407,6.3,4106,2017-06-30,75000000,1034727750,2017,6,cross-genre,Uni.
destroyer,en,17.815,5.9,176,2018-12-25,9000000,3681096,2018,12,cross-genre,Annapurna
devil,en,10.203,5.9,1516,2010-09-17,10000000,63354114,2010,9,cross-genre,Uni.
devil's due,en,5.893,4.5,303,2014-01-17,7000000,36146087,2014,1,cross-genre,Fox
dhoom 3,hi,6.798,5.9,136,2013-12-20,24000000,11723620,2013,12,cross-genre,Yash
diary of a wimpy kid,en,12.256,6.0,736,2010-03-19,15000000,76954311,2010,3,cross-genre,Fox
diary of a wimpy kid: dog days,en,11.36,6.2,440,2012-08-03,22000000,77229695,2012,8,cross-genre,Fox
diary of a wimpy kid: rodrick rules,en,8.961,6.4,492,2011-03-25,18000000,73695194,2011,3,cross-genre,Fox
diary of a wimpy kid: the long haul,en,10.839,5.6,193,2017-05-19,22000000,35609577,2017,5,cross-genre,Fox
dinner for schmucks,en,6.632,5.6,920,2010-07-30,69000000,86796502,2010,7,comedy,P/DW
dirty grandpa,en,11.432,5.8,2667,2016-01-22,11500000,105078449,2016,1,comedy,LGF
divergent,en,16.982,6.9,8279,2014-03-21,85000000,276014965,2014,3,cross-genre,LG/S
django unchained,en,21.26,8.0,15725,2012-12-25,100000000,449948323,2012,12,cross-genre,Wein.
do you believe?,en,5.599,7.0,72,2015-03-20,2300000,14304931,2015,3,drama,PFR
doctor strange,en,33.035,7.3,12582,2016-11-04,165000000,676404566,2016,11,cross-genre,BV
dolphin tale,en,10.679,6.8,327,2011-09-23,37000000,96068724,2011,9,cross-genre,WB
dolphin tale 2,en,7.403,6.7,173,2014-09-12,36000000,57824533,2014,9,cross-genre,WB
dom hemingway,en,7.254,5.8,302,2014-04-02,7000000,1857458,2014,4,cross-genre,FoxS
don jon,en,12.78,5.9,2709,2013-09-27,5500000,41268579,2013,9,cross-genre,Rela.
don't be afraid of the dark,en,8.405,5.5,550,2011-08-26,25000000,39126427,2011,8,cross-genre,FD
dope,en,9.246,7.2,954,2015-06-19,7000000,18190831,2015,6,cross-genre,ORF
downsizing,en,10.682,5.1,1887,2017-12-22,68000000,54462971,2017,12,cross-genre,Par.
dracula untold,en,29.043,6.2,3719,2014-10-10,70000000,220241723,2014,10,cross-genre,Uni.
draft day,en,10.581,6.6,460,2014-04-11,25000000,29847480,2014,4,cross-genre,LG/S
dream house,en,9.047,6.0,670,2011-09-30,50000000,41642166,2011,9,cross-genre,Uni.
dredd,en,13.223,6.7,2788,2012-09-21,45000000,41467606,2012,9,cross-genre,LGF
drive angry,en,14.096,5.3,959,2011-02-25,50000000,41042583,2011,2,cross-genre,Sum.
due date,en,12.445,6.3,2973,2010-11-05,65000000,211739043,2010,11,cross-genre,WB
dum maaro dum,hi,1.491,5.4,16,2011-04-22,5200000,11633427,2011,4,cross-genre,FoxS
dumb and dumber to,en,15.964,5.5,1842,2014-11-14,40000000,156553592,2014,11,cross-genre,Uni.
dunkirk,en,24.358,7.4,9156,2017-07-21,150000000,499837368,2017,7,cross-genre,WB
dylan dog: dead of night,en,7.508,4.4,243,2011-04-29,20000000,6093725,2011,4,cross-genre,OMNI/FSR
early man,en,16.675,5.9,338,2018-02-16,50000000,45285890,2018,2,cross-genre,LGF
earth to echo,en,7.189,5.7,377,2014-07-02,13000000,42174545,2014,7,cross-genre,Rela.
easy a,en,14.69,6.8,4168,2010-09-17,8000000,76200721,2010,9,cross-genre,SGem
eat pray love,en,9.991,6.0,1208,2010-08-13,60000000,206598789,2010,8,cross-genre,Sony
eddie the eagle,en,11.483,7.2,1190,2016-02-26,23000000,45060480,2016,2,cross-genre,Fox
eden,en,6.877,6.8,100,2016-01-19,2300000,0,2016,1,drama,BG
edge of darkness,en,11.252,6.3,794,2010-01-29,60000000,82812456,2010,1,cross-genre,WB
edge of tomorrow,en,19.753,7.6,8047,2014-06-06,178000000,370541256,2014,6,cross-genre,WB
elysium,en,17.663,6.4,5406,2013-08-09,120000000,286192091,2013,8,cross-genre,TriS
end of watch,en,13.152,7.3,1770,2012-09-21,15000000,57586606,2012,9,cross-genre,ORF
ender's game,en,15.533,6.6,3558,2013-11-01,110000000,127983283,2013,11,cross-genre,LG/S
enough said,en,8.722,6.7,464,2013-09-18,8000000,25621449,2013,9,cross-genre,FoxS
entourage,en,13.802,6.2,647,2015-06-03,30000000,46438538,2015,6,comedy,WB
epic,en,13.995,6.4,1670,2013-05-24,100000000,262794441,2013,5,cross-genre,Fox
escape from planet earth,en,9.227,5.8,459,2013-02-15,40000000,74156610,2013,2,cross-genre,Wein.
escape plan,en,17.88,6.7,2799,2013-10-18,70000000,103735965,2013,10,cross-genre,LG/S
escobar: paradise lost,en,15.924,6.3,476,2015-06-26,17000000,3917679,2015,6,cross-genre,RTWC
everything must go,en,7.493,6.0,301,2011-05-13,5000000,2821010,2011,5,cross-genre,RAtt.
"everything, everything",en,13.998,7.2,2447,2017-05-19,10000000,61603136,2017,5,cross-genre,WB
evolution,fr,4.208,6.3,73,2001-06-08,80000000,98341932,2001,6,cross-genre,IFC
ex machina,en,18.485,7.6,8026,2015-04-10,13000000,38358392,2015,4,cross-genre,A24
exodus: gods and kings,en,26.789,5.7,2909,2014-12-12,140000000,268314513,2014,12,cross-genre,Fox
extraordinary measures,en,6.3,6.3,153,2010-01-22,31000000,15826984,2010,1,drama,CBS
eye in the sky,en,10.219,7.1,850,2016-03-11,13000000,35402802,2016,3,cross-genre,BST
falcon rising,en,10.059,5.8,126,2014-09-04,4500000,11774,2014,9,cross-genre,Free
fantastic beasts and where to find them,en,28.563,7.4,12152,2016-11-18,180000000,802402853,2016,11,cross-genre,WB
